Trimestre,Estado,Ingreso en millones de dolares,Zona
01/01/2003,Aguascalientes,62.4429,CentroNorte
01/04/2003,Aguascalientes,58.7056,CentroNorte
01/07/2003,Aguascalientes,68.7904,CentroNorte
01/10/2003,Aguascalientes,70.3289,CentroNorte
01/01/2004,Aguascalientes,73.5442,CentroNorte
01/04/2004,Aguascalientes,82.3219,CentroNorte
01/07/2004,Aguascalientes,82.9733,CentroNorte
01/10/2004,Aguascalientes,75.995,CentroNorte
01/01/2005,Aguascalientes,67.808,CentroNorte
01/04/2005,Aguascalientes,77.9847,CentroNorte
01/07/2005,Aguascalientes,87.5852,CentroNorte
01/10/2005,Aguascalientes,89.2073,CentroNorte
01/01/2006,Aguascalientes,82.1946,CentroNorte
01/04/2006,Aguascalientes,100.4855,CentroNorte
01/07/2006,Aguascalientes,100.8364,CentroNorte
01/10/2006,Aguascalientes,95.8714,CentroNorte
01/01/2007,Aguascalientes,94.6044,CentroNorte
01/04/2007,Aguascalientes,99.2885,CentroNorte
01/07/2007,Aguascalientes,95.228,CentroNorte
01/10/2007,Aguascalientes,83.902,CentroNorte
01/01/2008,Aguascalientes,72.1281,CentroNorte
01/04/2008,Aguascalientes,87.4482,CentroNorte
01/07/2008,Aguascalientes,91.3643,CentroNorte
01/10/2008,Aguascalientes,81.3932,CentroNorte
01/01/2009,Aguascalientes,74.6774,CentroNorte
01/04/2009,Aguascalientes,75.4587,CentroNorte
01/07/2009,Aguascalientes,68.2654,CentroNorte
01/10/2009,Aguascalientes,63.8108,CentroNorte
01/01/2010,Aguascalientes,67.4965,CentroNorte
01/04/2010,Aguascalientes,79.1047,CentroNorte
01/07/2010,Aguascalientes,75.6273,CentroNorte
01/10/2010,Aguascalientes,71.6935,CentroNorte
01/01/2011,Aguascalientes,69.0867,CentroNorte
01/04/2011,Aguascalientes,79.407,CentroNorte
01/07/2011,Aguascalientes,81.4962,CentroNorte
01/10/2011,Aguascalientes,76.3324,CentroNorte
01/01/2012,Aguascalientes,78.3773,CentroNorte
01/04/2012,Aguascalientes,96.8995,CentroNorte
01/07/2012,Aguascalientes,82.2707,CentroNorte
01/10/2012,Aguascalientes,75.1202,CentroNorte
01/01/2013,Aguascalientes,68.1282,CentroNorte
01/04/2013,Aguascalientes,81.6936,CentroNorte
01/07/2013,Aguascalientes,77.863,CentroNorte
01/10/2013,Aguascalientes,77.9147,CentroNorte
01/01/2014,Aguascalientes,76.1388,CentroNorte
01/04/2014,Aguascalientes,83.4929,CentroNorte
01/07/2014,Aguascalientes,81.0742,CentroNorte
01/10/2014,Aguascalientes,83.1717,CentroNorte
01/01/2015,Aguascalientes,80.557,CentroNorte
01/04/2015,Aguascalientes,88.2038,CentroNorte
01/07/2015,Aguascalientes,92.4914,CentroNorte
01/10/2015,Aguascalientes,86.9748,CentroNorte
01/01/2016,Aguascalientes,89.8222,CentroNorte
01/04/2016,Aguascalientes,100.2131,CentroNorte
01/07/2016,Aguascalientes,103.667,CentroNorte
01/10/2016,Aguascalientes,102.2457,CentroNorte
01/01/2017,Aguascalientes,99.844,CentroNorte
01/04/2017,Aguascalientes,110.0001,CentroNorte
01/07/2017,Aguascalientes,110.9344,CentroNorte
01/10/2017,Aguascalientes,112.5692,CentroNorte
01/01/2018,Aguascalientes,102.0709,CentroNorte
01/04/2018,Aguascalientes,126.2512,CentroNorte
01/07/2018,Aguascalientes,118.7743,CentroNorte
01/10/2018,Aguascalientes,126.1517,CentroNorte
01/01/2019,Aguascalientes,110.6163,CentroNorte
01/04/2019,Aguascalientes,129.6806,CentroNorte
01/07/2019,Aguascalientes,137.8002,CentroNorte
01/10/2019,Aguascalientes,127.5781,CentroNorte
01/01/2020,Aguascalientes,127.7942,CentroNorte
01/04/2020,Aguascalientes,135.2717,CentroNorte
01/07/2020,Aguascalientes,134.8497,CentroNorte
01/10/2020,Aguascalientes,141.9874,CentroNorte
01/01/2021,Aguascalientes,140.3132,CentroNorte
01/04/2021,Aguascalientes,177.7184,CentroNorte
01/01/2003,Baja California,28.5954,Norte
01/04/2003,Baja California,33.7084,Norte
01/07/2003,Baja California,44.3751,Norte
01/10/2003,Baja California,35.3224,Norte
01/01/2004,Baja California,34.4552,Norte
01/04/2004,Baja California,43.6774,Norte
01/07/2004,Baja California,45.6772,Norte
01/10/2004,Baja California,41.2188,Norte
01/01/2005,Baja California,52.4007,Norte
