Trimestre,Estado,Ingreso en millones de dolares
01/01/2003,Aguascalientes,62.4429
01/04/2003,Aguascalientes,58.7056
01/07/2003,Aguascalientes,68.7904
01/10/2003,Aguascalientes,70.3289
01/01/2004,Aguascalientes,73.5442
01/04/2004,Aguascalientes,82.3219
01/07/2004,Aguascalientes,82.9733
01/10/2004,Aguascalientes,75.995
01/01/2005,Aguascalientes,67.808
01/04/2005,Aguascalientes,77.9847
01/07/2005,Aguascalientes,87.5852
01/10/2005,Aguascalientes,89.2073
01/01/2006,Aguascalientes,82.1946
01/04/2006,Aguascalientes,100.4855
01/07/2006,Aguascalientes,100.8364
01/10/2006,Aguascalientes,95.8714
01/01/2007,Aguascalientes,94.6044
01/04/2007,Aguascalientes,99.2885
01/07/2007,Aguascalientes,95.228
01/10/2007,Aguascalientes,83.902
01/01/2008,Aguascalientes,72.1281
01/04/2008,Aguascalientes,87.4482
01/07/2008,Aguascalientes,91.3643
01/10/2008,Aguascalientes,81.3932
01/01/2009,Aguascalientes,74.6774
01/04/2009,Aguascalientes,75.4587
01/07/2009,Aguascalientes,68.2654
01/10/2009,Aguascalientes,63.8108
01/01/2010,Aguascalientes,67.4965
01/04/2010,Aguascalientes,79.1047
01/07/2010,Aguascalientes,75.6273
01/10/2010,Aguascalientes,71.6935
01/01/2011,Aguascalientes,69.0867
01/04/2011,Aguascalientes,79.407
01/07/2011,Aguascalientes,81.4962
01/10/2011,Aguascalientes,76.3324
01/01/2012,Aguascalientes,78.3773
01/04/2012,Aguascalientes,96.8995
01/07/2012,Aguascalientes,82.2707
01/10/2012,Aguascalientes,75.1202
01/01/2013,Aguascalientes,68.1282
01/04/2013,Aguascalientes,81.6936
01/07/2013,Aguascalientes,77.863
01/10/2013,Aguascalientes,77.9147
01/01/2014,Aguascalientes,76.1388
01/04/2014,Aguascalientes,83.4929
01/07/2014,Aguascalientes,81.0742
01/10/2014,Aguascalientes,83.1717
01/01/2015,Aguascalientes,80.557
01/04/2015,Aguascalientes,88.2038
01/07/2015,Aguascalientes,92.4914
01/10/2015,Aguascalientes,86.9748
01/01/2016,Aguascalientes,89.8222
01/04/2016,Aguascalientes,100.2131
01/07/2016,Aguascalientes,103.667
01/10/2016,Aguascalientes,102.2457
01/01/2017,Aguascalientes,99.844
01/04/2017,Aguascalientes,110.0001
01/07/2017,Aguascalientes,110.9344
01/10/2017,Aguascalientes,112.5692
01/01/2018,Aguascalientes,102.0709
01/04/2018,Aguascalientes,126.2512
01/07/2018,Aguascalientes,118.7743
01/10/2018,Aguascalientes,126.1517
01/01/2019,Aguascalientes,110.6163
01/04/2019,Aguascalientes,129.6806
01/07/2019,Aguascalientes,137.8002
01/10/2019,Aguascalientes,127.5781
01/01/2020,Aguascalientes,127.7942
01/04/2020,Aguascalientes,135.2717
01/07/2020,Aguascalientes,134.8497
01/10/2020,Aguascalientes,141.9874
01/01/2021,Aguascalientes,140.3132
01/04/2021,Aguascalientes,177.7184
01/01/2003,Baja California,28.5954
01/04/2003,Baja California,33.7084
01/07/2003,Baja California,44.3751
01/10/2003,Baja California,35.3224
01/01/2004,Baja California,34.4552
01/04/2004,Baja California,43.6774
01/07/2004,Baja California,45.6772
01/10/2004,Baja California,41.2188
01/01/2005,Baja California,52.4007
01/04/2005,Baja California,66.828
01/07/2005,Baja California,70.2093
01/10/2005,Baja California,67.1974
01/01/2006,Baja California,68.569
01/04/2006,Baja California,78.2581
01/07/2006,Baja California,80.2418
01/10/2006,Baja California,74.9955
01/01/2007,Baja California,75.9435
01/04/2007,Baja California,86.804
01/07/2007,Baja California,90.0918
01/10/2007,Baja California,81.74
01/01/2008,Baja California,77.876
01/04/2008,Baja California,88.1468
01/07/2008,Baja California,89.0078
01/10/2008,Baja California,79.2862
01/01/2009,Baja California,73.8543
01/04/2009,Baja California,83.327
01/07/2009,Baja California,86.4913
01/10/2009,Baja California,78.3913
01/01/2010,Baja California,77.084
01/04/2010,Baja California,91.6085
01/07/2010,Baja California,92.4289
01/10/2010,Baja California,86.8352
01/01/2011,Baja California,89.2406
01/04/2011,Baja California,101.6637
01/07/2011,Baja California,107.1542
01/10/2011,Baja California,98.6943
01/01/2012,Baja California,97.1407
01/04/2012,Baja California,117.2737
01/07/2012,Baja California,122.534
01/10/2012,Baja California,127.9115
01/01/2013,Baja California,137.0635
01/04/2013,Baja California,163.1497
01/07/2013,Baja California,163.4079
01/10/2013,Baja California,155.9607
01/01/2014,Baja California,145.3448
01/04/2014,Baja California,155.9564
01/07/2014,Baja California,159.4505
01/10/2014,Baja California,159.0984
01/01/2015,Baja California,152.9863
01/04/2015,Baja California,173.9016
01/07/2015,Baja California,182.6473
01/10/2015,Baja California,168.0687
01/01/2016,Baja California,169.1695
01/04/2016,Baja California,182.4093
01/07/2016,Baja California,177.0723
